"genesysId","collMissId","collNumb","collDate","collSrc","collSite","version"
"4024932",,"312-01",,"23","Yvonand","35"
"4024933",,"999-01",,"",,"34"
"4024934",,"291-01",,"21","Gressy","35"
"4024935",,"018-01",,"22","Essertines-sur-Yverd","34"
"4024936",,"999-05",,"",,"34"
"4024937",,"973-01",,"22","Salvenach","34"
"4024938",,"286-02",,"21","Giez","35"
"4024939",,"039-03",,"22","Le Mont-sur-Lausanne","33"
"4024940",,"216-02",,"21","Romainmôtier","34"
"4024941",,"503-01",,"23","Estavayer-le-lac","33"
"4024942",,"334-01",,"22","Granges-près-Marnand","35"
"4024943",,"291-01",,"21","Gressy","35"
"4024944",,"312-01",,"23","Yvonand","35"
"4024945",,"221-01",,"25","Mont-la-Ville","33"
"4024946",,"683-01",,"22","Les Bois","35"
"4024947",,"291-01",,"21","Gressy","33"
"4024948",,"751-01",,"22",,"35"
"4024949",,"503-01",,"23","Estavayer-le-lac","33"
"4024950",,"560-02",,"23","La Chaux-de-fonds","35"
"4024951",,"750-01",,"22","Coeuve","35"
"4024952",,"560-02",,"23","La Chaux-de-fonds","34"
"4024953",,"219-03",,"22","Juriens","33"
"4024954",,"334-01",,"22","Granges-près-Marnand","35"
"4024955",,"286-02",,"21","Giez","33"
"4024956",,"799-01",,"21","Montbrelloz","35"
"4024957",,"043-01",,"61","Grandson","35"
"4024958",,"018-01",,"22","Essertines-sur-Yverd","35"
"4024959",,"904-01",,"23","Brünisried","35"
"4024960",,"505-02",,"61","Vendlincourt","35"
"4024961",,"014-03",,"61","Penthaz","33"
"4024962",,"904-01",,"23","Brünisried","33"
"4024963",,"221-01",,"25","Mont-la-Ville","35"
"4024964",,"858-01",,"","Montet (Glâne)","32"
"4024965",,"973-01",,"22","Salvenach","33"
"4024966",,"043-01",,"61","Grandson","35"
"4024967",,"750-01",,"22","Coeuve","35"
"4024968",,"999-04",,"",,"34"
"4024969",,"999-02",,"",,"34"
"4024970",,"504-01",,"21","Le Locle","35"
"4024971",,"018-01",,"22","Essertines-sur-Yverd","33"
"4024972",,"312-01",,"23","Yvonand","35"
"4024973",,"835-01",,"61","Pont-la-Ville","33"
"4024974",,"216-02",,"21","Romainmôtier","34"
"4024975",,"799-01",,"21",,"35"
"4024976",,"560-02",,"23","La Chaux-de-fonds","35"
"4024977",,"815",,"",,"25"
"4024978",,"693-01",,"22","Delémont","35"
"4024979",,,,"20",,"35"
"4024980",,"190-01",,"22","Gingins","35"
"4024981",,"390-02",,"25","Blonay","33"
"4024982",,"472-01",,"23","Satigny","35"
"4024983",,"612-01",,"22","Ayent","35"
"4024984",,"024-01",,"21","Prangins","35"
"4024985",,"439-01",,"21","Les Posses-sur-Bex","33"
"4024986",,"488-01",,"12","Dardagny","35"
"4024987",,"494-01",,"22","Aire-la-Ville","33"
"4024988",,"170-01",,"22","Burtigny","33"
"4024989",,"150-02",,"61","Allaman","35"
"4024990",,"591-01",,"23","Riddes","35"
"4024991",,"153-01",,"61","Féchy","35"
"4024992",,"429-01",,"61","Ollon VD","34"
"4024993",,"497-01",,"61","Bellevue","35"
"4024994",,"601-01",,"21","Le Châble VS","35"
"4024995",,"661-01",,"23","Varen","35"
"4024996",,"418-01",,"23","Leysin","35"
"4024997",,"579-01",,"22","Vérossaz","34"
"4024998",,"487-01",,"22","Russin","35"
"4024999",,"591-02",,"61","Riddes","35"
"4025000",,"494-02",,"25","Aire-la-Ville","33"
"4025001",,"179-01",,"22","Duillier","35"
"4025002",,"580-01",,"61","Muraz (Collombey)","35"
"4025003",,"629-01",,"61","Ried-Brig","35"
"4025004",,"614-01",,"22","Nax","35"
"4025005",,"160-01",,"61","Bursins","34"
"4025006",,"414-01",,"61","Noville","35"
"4025007",,"420-02",,"23","Corbeyrier","34"
"4025008",,"487-02",,"22","Russin Mutterbaum","35"
"4025009",,"664-01",,"","Miège","34"
"4025010",,"506-01",,"12","Vollèges","35"
"4025011",,"641-02",,"21","Niedergesteln","35"
"4025012",,"048-01",,"23","Coinsins","34"
"4025013",,"186-01",,"23","Arzier","34"
"4025014",,"440-02",,"61","Fenalet","35"
