taxon_full_name,prov_type,orig_lat,orig_long,country,state,county,municipality,locality,assoc_sp,acc_num,lin_num,orig_source,num_indiv,germ_type,garden_loc,coll_num,,,,,,,,,,,,,,,,,,,,
Diospyros virginiana,W,,,US,AL,Jackson,Berry's Cove,grows in limestone area,,14105,,"sd wld collected Jack Johnston,",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Diospyros virginiana,G,,,,,,,,,88093,,Arboretum Tervuren,1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Juglans californica,G,,,,,,,,,21155,,"sd from tree in Flora, Köln, Germany",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Juglans cinerea,W,41° 35.954’ N,81° 18.618’ W,US,OH,Lake,Kirtland,"spontaneous trees growing near the barn at 
Lantern Court, The Holden Arboretum",,11056,,sd collected by Philippe de Spoelberch,1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Juglans cinerea,G,,,,,,,,,11058,,"sd from Guy Sternberg from a cultivated specimen on 
MacArthur Boulevard in Springfield Illinois, with no other Juglans within sight except for J. nigra (which does not seem to cross with it), the last specimen in Springfield.",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Juglans cinerea,G,,,,,,,,,11067,,"sd from Guy Sternberg from a cultivated specimen on 
MacArthur Boulevard in Springfield Illinois, with no other Juglans within sight except for J. nigra (which does not seem to cross with it), the last specimen in Springfield.",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Juglans cinerea,G,,,,,,,,,92837,,"nursery Niehues, wld origin confurmd but no location data",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Juglans major,G,,,,,,,,,11204,,"sd Arnold 10968-A -big Tr.,  (mixed with many other Juglans)",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Juglans microcarpa,W,,,US,TX,,Jeff Davis," Highway 118 Fort Davis to Kent, 1600m",,11070,,"wld collected by Dirk Benoit in Texas, nr 0633J1  collected as seed on 041004",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Juglans microcarpa,W,,,US,TX,,Jeff Davis," Highway 118 Fort Davis to Kent, 1600m",,11206,,"wld collected by Dirk Benoit in Texas, nr 0633J1  collected as 
seed on 041005",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Juglans microcarpa,G,,,,,,,,,91423,,Nursery Waasland,1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Juglans nigra,G,,,,,,,,,69023,,Nursery Van Pelt,1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Juglans nigra,G,,,,,,,,,80238,,no info,1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Juglans nigra,G,,,,,,,,,84276,,Nursery Esveld,1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Prunus serotina,G,,,,,,,,,AA175,,"Avenue Elinor,x 100 pl",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
Prunus serotina,W,,,MX,,,"San Jose del 
Pacifico","near San Jose del Pacifico,  136km from Oaxaca 
road to Puerto Escondido (HW175), 2590m",,13119,,"gift Maurice Foster, sec-id ""th4080 Mexico"", collected Tom 
Hudson",1,plant,Garden Grounds,,,,,,,,,,,,,,,,,,,,,
