taxon_full_name,genus,species,infra_rank,infra_name,hybrid,cultivar,prov_type,orig_lat,orig_long,country,state,county,municipality,locality,assoc_sp,acc_num,lin_num,orig_source,rec_as,num_indiv,germ_type,garden_loc,coll_num,coll_name,coll_year,taxon_verif,notes
Diospyros virginiana 'Golden Supreme',Diospyros,virginiana,,,,'Golden Supreme',G,,,,,,,,,D2018-0130,D1997-0373,Northwoods Nursery,Graft,1,Plant,Nursery,,,,Not determined,
Carya cordiformis (Wangenh.) K.Koch,Carya,cordiformis,,,,,W,,,United States of America,IL,McHenry Co.,Woodstock,Near Woodstock; Miller property.,"Assoc. w/ Acer saccharinum, Acer negundo, Carya ovata, Celtis occidentalis, Fraxinus spp., Prunus serotina, Quercus alba, Quercus macrocarpa.",D2018-0476,454-2017,Arnold Arboretum,Plant,1,Plant,Nursery,,"Betty Miller, Annette Miller, Kevin Miller, Brandon Miller",2017-09-24,Not determined,
Corylus americana Walter,Corylus,americana,,,,,W,42.83,-88.457183,United States of America,WI,Walworth County,Troy Center,"North of Troy Center (unincorporated), The Nature Conservancy Preserve - Lulu Lake, Daniel J. Shadduck Trail, ca. 80 ft west of wood bridge crossing the Mukwonago River.","Open, in oak savanna. Assic. w/ Quercus macrocarpa, Carya ovata, Cornus alba, Rhamnus cathartica, Rhus glabra, Solidago sp.",D2018-0479,256-2017,Arnold Arboretum,Plant,5,Plant,Nursery,WIE-006,"Enzenbacher, Tiffany; Port, Kyle (Arnold Arboretum)",2017-08-28,Not determined,
Castanea pumila Mill.,Castanea,pumila,,,,,W,34.76222,-83.42583,United States of America,GA,Rabun Co.,Lakemont,"s. of Lake Rabun, ~2.4km (1.5 mi.) s.s.w of Lakemont",,D2018-0566,,"Johnston, Jack, Lakemont, GA  30552",Seed,1,Plant,Nursery,,"Johnston, Jack",,Not determined,
Castanea pumila Mill.,Castanea,pumila,,,,,W,35.07937,-83.435,United States of America,GA,Macon Co.,Otto,~4.76 km (3 mi.) n.w. of town of Otto,,D2018-0567,,"Johnston, Jack, Lakemont, GA  30552",Seed,4,Plant,Nursery,,"Johnston, Jack",,Not determined,
Carya myristiciformis (F.Michx.) Elliott,Carya,myristiciformis,,,,,W,33.354106,-88.758681,United States of America,MS,Oktibbeha County,,"w. side of Oktoc Rd., just n. of intersection with Browning Creek Rd.",,D2018-0655,,"Granger, Joshua J., Mississippi State, MS 39762",Seed,5,Plant,Nursery,,,,Not determined,
Carya myristiciformis (F.Michx.) Elliott,Carya,myristiciformis,,,,,W,33.36585,-88.758051,United States of America,MS,Oktibbeha County,,"e. side of Oktoc Rd., between Mt. Olive Rd. and Browning Creek Rd.",,D2018-0660,,"Granger, Joshua J.",Seed,5,Plant,Garden Grounds,s.n.,"Granger, Joshua (Mississippi State Univ.)",2018-10,Not determined,
Carya cordiformis (Wangenh.) K.Koch,Carya,cordiformis,,,,,G,,,,,,,,,D2019-0231,,Acorn Farms,Plant,1,Plant,Garden Grounds,,,,Not determined,
Castanea pumila Mill.,Castanea,pumila,,,,,W,,,United States of America,NC,Macon County,,,,D2019-0504,,"Johnston, Jack",Seed,3,Plant,Nursery,TDAWVGANCSC19-026,"Johnston, Jack",2019-09-18,Not determined,
Asimina triloba 'Estil',Asimina,triloba,,,,'Estil',G,,,,,,,,,D2020-0087,D1998-0735,Mission Oaks Garden,Graft,1,Plant,Nursery,,,,Not determined,
Diospyros virginiana 'WFHgodel' Golden Delight™,Diospyros,virginiana,,,,'WFHgodel',G,,,,,,,,,D2020-0113,,Klyn Nursery,Graft,1,Plant,Nursery,,,,Not determined,
Asimina triloba 'Sweet Alice',Asimina,triloba,,,,'Sweet Alice',G,,,,,,,,,D2020-0128,D2003-0342,Holden Arboretum,Graft,2,Plant,Nursery,,,,Not determined,
